init term cap len fft B Power speed toll type ;
48.0 2706.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
48.0 4892.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
70.0 3038.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
70.0 7327.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
89.0 3673.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
89.0 859.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
148.0 708.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
148.0 1511.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
148.0 5195.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
148.0 6772.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
152.0 7608.0 2400.0 0.060000000000000005 0.14400000000000002 0.15 4 25.0 0 1 0
152.0 2666.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
156.0 5914.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
164.0 7605.0 2400.0 0.07 0.08400000000000002 0.15 4 50.0 0 1 0
179.0 7121.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
179.0 2292.0 1200.0 0.08 0.192 0.15 4 25.0 0 1 0
179.0 670.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
344.0 7810.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
344.0 605.0 2400.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
386.0 3491.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
386.0 6038.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
429.0 5962.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
431.0 4178.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
431.0 7292.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
431.0 7309.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
431.0 3407.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
477.0 4785.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
477.0 3173.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
477.0 1119.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
486.0 1472.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
486.0 7464.0 1200.0 0.05 0.06 0.15 4 50.0 0 1 0
486.0 7106.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
486.0 152.0 2400.0 0.05 0.12 0.15 4 25.0 0 1 0
494.0 3075.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
494.0 6251.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
494.0 1119.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
605.0 3425.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
605.0 2771.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
606.0 5100.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
606.0 2862.0 3600.0 0.05 0.15 0.15 4 20.0 0 1 0
670.0 179.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
670.0 3093.0 8400.0 0.08 0.32 0.15 4 15.0 0 1 0
670.0 4567.0 1200.0 0.07 0.28 0.15 4 15.0 0 1 0
